sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	0	5.705262	-9.858496	1
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	0	5.289397	-10.46131	1
GLDS-612_rna_seq_Ground_control_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	0	5.242325	-10.155249	1
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	0	5.0152965	-9.797946	1
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	0	4.8565564	-10.176082	1
GLDS-612_rna_seq_Ground_control_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	0	4.876268	-9.940931	1
GLDS-603_rna_seq_CWRU004177_S4_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.481861	-18.011934	2
GLDS-603_rna_seq_CWRU004178_S5_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.272368	-18.026886	2
GLDS-603_rna_seq_CWRU004179_S6_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.4814205	-18.067528	2
GLDS-603_rna_seq_CWRU004180_S7_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.448112	-18.032082	2
GLDS-603_rna_seq_CWRU004184_S11_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.316216	-17.810637	2
GLDS-603_rna_seq_CWRU004185_S12_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.308551	-17.935513	2
GLDS-603_rna_seq_CWRU004186_S13_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.170919	-18.20643	2
GLDS-603_rna_seq_CWRU004187_S14_Aligned.sortedByCoord_sorted.out	OSD-658	1	-11.401931	-18.110983	2
GLDS-603_rna_seq_CWRU004174_S1_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.216738	-18.18361	2
GLDS-603_rna_seq_CWRU004175_S2_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.528141	-17.869556	2
GLDS-603_rna_seq_CWRU004176_S3_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.112278	-18.080753	2
GLDS-603_rna_seq_CWRU004181_S8_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.318707	-18.241396	2
GLDS-603_rna_seq_CWRU004182_S9_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.235477	-18.146408	2
GLDS-603_rna_seq_CWRU004183_S10_Aligned.sortedByCoord_sorted.out	OSD-658	0	-11.220192	-17.882053	2
GLDS-476_rna_seq_GSM5691012_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.149787	-26.037685	5
GLDS-476_rna_seq_GSM5691013_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.596123	-26.073317	5
GLDS-476_rna_seq_GSM5691014_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.5335045	-26.228582	5
GLDS-476_rna_seq_GSM5691016_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.413887	-25.878736	5
GLDS-476_rna_seq_GSM5691017_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.249642	-25.917135	5
GLDS-476_rna_seq_GSM5691018_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.152582	-26.2285	5
GLDS-476_rna_seq_GSM5691020_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.318568	-25.999863	5
GLDS-476_rna_seq_GSM5691021_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.212025	-26.141394	5
GLDS-476_rna_seq_GSM5691022_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.305732	-26.376148	5
GLDS-476_rna_seq_GSM5691024_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.232096	-26.442709	5
GLDS-476_rna_seq_GSM5691025_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.56833	-26.12841	5
GLDS-476_rna_seq_GSM5691026_Aligned.sortedByCoord_sorted.out	OSD-476	1	12.446174	-26.278023	5
GLDS-476_rna_seq_GSM5691011_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.604137	-26.283228	5
GLDS-476_rna_seq_GSM5691015_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.567282	-26.166348	5
GLDS-476_rna_seq_GSM5691019_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.5622	-26.003471	5
GLDS-476_rna_seq_GSM5691023_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.36218	-26.458149	5
GLDS-476_rna_seq_GSM5691027_Aligned.sortedByCoord_sorted.out	OSD-476	0	12.497892	-26.539837	5
